variable_name,variable_group,used_in,role,description,source_file,expected_type,missing_n,non_missing_n,unique_n,notes
게시물ID,identifier,H1_H2_H3,key,게시물 고유 ID,h3main,character,0,978,978,978개 고유
트윗URL,identifier,H1_H2_H3,reference,트윗 URL,h3main,character,0,978,978,
트윗텍스트,identifier,H1_H2_H3,reference,트윗 원문 텍스트,h3main,character,0,978,964,
답글수,raw_count,H1_H2_H3,raw_dv_source,답글(reply) 수,h3main,integer,0,978,435,R에서 log1p 변환 후 DV로 사용
좋아요수,raw_count,H1_H2_H3,raw_dv_source,좋아요(favorite) 수,h3main,integer,0,978,871,
리트윗수,raw_count,H1_H2_H3,raw_dv_source,리트윗(retweet) 수,h3main,integer,0,978,401,참여도합계 계산에 필수
인용수,raw_count,H1_H2_H3,raw_dv_source,인용(quote) 수,h3main,integer,0,978,235,
북마크수,raw_count,H1_H2_H3,raw_dv_source,북마크(bookmark) 수,h3main,integer,0,978,202,
조회수,raw_count,reference,reference,조회(view) 수 — 분석에 사용하지 않음,h3main,integer,0,978,345,분석 제외; 참고용
작성일,date_time,H1_H2_H3,covariate,게시 날짜 (YYYY-MM-DD),h3main,character,0,978,600,
작성연도,date_time,H1_H2_H3,time_fe,게시 연도; R: factor(작성연도),h3main,integer,0,978,9,
작성월,date_time,H1_H2_H3,time_fe,게시 월 1-12; R: factor(작성월),h3main,integer,0,978,12,
작성시간,date_time,H1_H2_H3,time_fe,게시 시각 0-23; R: factor(작성시간),h3main,integer,0,978,22,
연도분기,date_time,H3,filter,연도-분기 (YYYY-QN); LOO 계산 단위,h3main,character,0,978,28,H3에서 FE로 사용 금지
유머예측이진,h1_iv,H1,primary_iv,모델 기반 유머 이진 예측 (threshold=0.50),presence,integer,0,978,2,"0=비유머, 1=유머"
유머확률모델,h1_iv,H1,primary_iv,모델 기반 유머 확률 (TF-IDF LogReg),presence,numeric,0,978,907,H1 probability model IV
인간레이블가용,h1_validation,H1,sample_flag_source,인간 레이블 가용 여부 (1=가용),presence,integer,0,978,2,합계=597 → H1인간검증표본 기준
유머레이블최종,h1_validation,H1,validation_iv,최종 유머 이진 레이블 (인간+모델 병합),presence,integer,381,597,2,H1 human validation IV
유머유형모델예측,h2_iv,H2,primary_iv,모델 기반 유머 유형 (aggressive/other_humor/non_humor),h3main,character,0,978,3,
공격적유머여부,h2_iv,H2,covariate,공격적 유머 이진 더미 (model-based),h3main,integer,0,978,2,0/1
기타유머여부,h2_iv,H2,covariate,기타 유머 이진 더미 (model-based),h3main,integer,0,978,2,0/1
유머유형최종,h2_validation,H2,validation_iv,최종 유머 유형 그룹 (인간 코딩 우선),humor_type,character,0,978,4,aggressive/other_humor/non_humor/missing
텍스트길이,control_post_format,H1_H2_H3,covariate,텍스트 길이 (문자 수),fast_ws,integer,0,978,243,
해시태그수,control_post_format,H1_H2_H3,covariate,해시태그(#) 수,fast_ws,integer,0,978,5,
멘션수,control_post_format,H1_H2_H3,covariate,멘션(@) 수,fast_ws,integer,0,978,8,
분기게시물수,filter,H3,filter_source,해당 연도분기 내 총 게시물 수,h3main,integer,0,978,27,H3 필터 기준
H3분기필터,filter,H3,filter,분기게시물수>=10이면 1,derived,integer,0,978,2,H3분석표본과 동일
유머비율LOO분기,h3_predictor,H3,primary_predictor,전체 유머 비율 LOO (분기 수준),h3pre,numeric,1,977,52,H3-pre predictor; 1 NA in full sample
공격적유머비율LOO분기,h3_predictor,H3,primary_predictor,공격적 유머 비율 LOO (분기 수준),h3main,numeric,1,977,43,H3-main predictor
기타유머비율LOO분기,h3_predictor,H3,primary_predictor,기타 유머 비율 LOO (분기 수준),h3main,numeric,1,977,46,H3-supplemental predictor
H1인간검증표본,sample_flag,H1,sample_flag,인간레이블가용==1이면 1 (n=597),derived,integer,0,978,2,
H2모델유머표본,sample_flag,H2,sample_flag,"유머유형모델예측 in {aggressive,other_humor} (n=564)",derived,integer,0,978,2,
H2인간검증표본,sample_flag,H2,sample_flag,"유머유형최종 in {aggressive,other_humor} (n=278)",derived,integer,0,978,2,
H3분석표본,sample_flag,H3,sample_flag,분기게시물수>=10이면 1 (n=960),derived,integer,0,978,2,
H2공격적유머모델더미,h2_iv,H2,r_replication_iv,"H2 모델: aggressive=1, other_humor=0, else=NA",derived,numeric,414,564,2,subset(H2모델유머표본==1)에서 사용
H2공격적유머인간더미,h2_validation,H2,r_replication_iv,"H2 인간: aggressive=1, other_humor=0, else=NA",derived,numeric,700,278,2,subset(H2인간검증표본==1)에서 사용
