audit_item,value,evidence,interpretation,priority
nationalroastday_in_mask_all,FALSE,#NationalRoastDay is rank-1 feature in ALL 6 existing variants including mask_all_leakage_groups,"Critical unresolved leakage. This hashtag is Wendy's-exclusive (wendys_count=16, batch1_count=0) and 12/16 rows are aggressive. Must be masked before any performance interpretation is valid.",CRITICAL
source_heldout_f1_aggressive,0.0 for both train_batch1_test_wendys and train_wendys_test_batch1,aggressive_filtered_full_eval_source_heldout.csv: f1=0.0 for all 6 variants,Model learns source-specific cues only. Cannot generalize across sources. F1=0.0 on held-out source means any cross-source application will have zero recall.,CRITICAL
threshold_pass_rate,"0/210 (zero thresholds pass primary or secondary criteria, all variants)",aggressive_filtered_full_eval_thresholds.csv,No operational threshold meets quality bar. Not deployable at any precision/recall trade-off point.,CRITICAL
all_variants_leakage_fail,FAIL for all 6 variants (aggressive) and all 6 variants (4-class type),leakage_flag=FAIL in both summary CSVs,"Wendy-specific tokens (wendy, wendys, wendy's) remain in top-3 features for aggressive class even after mask_all_leakage_groups. char n-grams amplify leakage via sub-word patterns.",CRITICAL
aggressive_pr_auc_range,0.3508–0.3747 across 6 variants,aggressive_filtered_full_eval_summary.csv,Low PR-AUC for imbalanced binary (139 pos / 787 neg). Masking does not improve performance — leakage was inflating apparent performance.,WARNING
four_class_macro_f1_range,0.4075–0.4194 across 6 variants,type_filtered_metrics.csv,"Moderate macro-F1. Dominated by affiliative (support=427, F1~0.60) and self-enhancing (F1~0.45-0.47). Self-defeating extremely poor (support=39, F1=0.13-0.18).",WARNING
self_defeating_label_count,39 samples total,type_filtered_per_class_metrics.csv support=39,Insufficient training data for self-defeating. F1 will remain below 0.25 regardless of other improvements. Additional human labeling is prerequisite.,WARNING
top_feature_rank1,word__nationalroastday (weight=0.21) for both original_text and mask_all_leakage_groups,aggressive_filtered_full_eval_top_features.csv rank=1,Campaign event hashtag is #1 feature — stronger than any actual humor/language signal. This inflates in-fold performance and catastrophically fails on held-out source.,CRITICAL
char_ngrams_from_roast,"char n-grams oas, oast, onal, nal, roast, roas dominate ranks 3-20",aggressive_filtered_full_eval_top_features.csv,"char_wb TF-IDF is learning sub-word patterns of nationalroastday and roast. These will be absent in Fortune 100 general corpus, causing zero transfer.",CRITICAL
competitor_token_in_mask_all_rank2,word__competitor_token rank=2 in mask_all_leakage_groups (weight=0.198),aggressive_filtered_full_eval_top_features.csv variant=mask_all_leakage_groups,"When nationalroastday is not masked, masking competitor names creates a new leakage token [COMPETITOR_TOKEN] that signals Wendy's identity. Hard_mask_v2 should resolve if nationalroastday is properly masked.",WARNING
hard_mask_v2_status,SCHEDULED (exp3),run_type_classifier_diagnostic_v2.py exp3,Add #NationalRoastDay to mask list. Expect PR-AUC to DROP if leakage was inflating it.,ACTION_REQUIRED
company_groupkfold_status,SCHEDULED (exp1),run_type_classifier_diagnostic_v2.py exp1,Within-batch1 company-GroupKFold tests Fortune 100 cross-company generalization. Aggressive is sparse per company (mode=3-6 per company) — expect low F1.,ACTION_REQUIRED
word_vs_char_feature_status,SCHEDULED (exp2),run_type_classifier_diagnostic_v2.py exp2,"If word+char >> word-only, char n-grams are carrying source-cue signal. If similar, leakage is primarily word-level.",ACTION_REQUIRED
candidate_status,NOT_A_CANDIDATE,"All variants: leakage_flag=FAIL, threshold_pass=0, source_heldout_f1=0.0",No variant meets minimum quality criteria. Do not apply to integrated corpus or Fortune 100 posts. Diagnostic experiments must complete first.,CRITICAL
